"index","county","report","offense","action","year","value"
"2","Alpine","Actions","Total","Revoked",2006,24
"2","Alpine","Actions","Total","Other",2006,10
"2","Alpine","Actions","Felony","Placed on Probation",2006,11
"2","Alpine","Actions","Felony","Removed from Probation",2006,16
"2","Alpine","Actions","Felony","Terminated",2006,4
"2","Alpine","Actions","Felony","Revoked",2006,10
"2","Alpine","Actions","Felony","Other",2006,2
"2","Alpine","Actions","Misdemeanor","Placed on Probation",2006,17
"2","Alpine","Actions","Misdemeanor","Removed from Probation",2006,29
"2","Alpine","Actions","Misdemeanor","Terminated",2006,7
"2","Alpine","Actions","Misdemeanor","Revoked",2006,14
"2","Alpine","Actions","Misdemeanor","Other",2006,8
"2","Alpine","Caseload","Total",NA,2007,45
"2","Alpine","Caseload","Felony",NA,2007,20
"2","Alpine","Caseload","Misdemeanor",NA,2007,25
"2","Alpine","Actions","Total","Placed on Probation",2007,31
"2","Alpine","Actions","Total","Removed from Probation",2007,33
"2","Alpine","Actions","Total","Terminated",2007,15
"2","Alpine","Actions","Total","Revoked",2007,16
"2","Alpine","Actions","Total","Other",2007,2
"2","Alpine","Actions","Felony","Placed on Probation",2007,12
"2","Alpine","Actions","Felony","Removed from Probation",2007,9
"2","Alpine","Actions","Felony","Terminated",2007,3
"2","Alpine","Actions","Felony","Revoked",2007,6
"2","Alpine","Actions","Felony","Other",2007,0
"2","Alpine","Actions","Misdemeanor","Placed on Probation",2007,19
"2","Alpine","Actions","Misdemeanor","Removed from Probation",2007,24
"2","Alpine","Actions","Misdemeanor","Terminated",2007,12
"2","Alpine","Actions","Misdemeanor","Revoked",2007,10
"2","Alpine","Actions","Misdemeanor","Other",2007,2
"2","Alpine","Caseload","Total",NA,2008,29
"2","Alpine","Caseload","Felony",NA,2008,12
"2","Alpine","Caseload","Misdemeanor",NA,2008,17
"2","Alpine","Actions","Total","Placed on Probation",2008,24
"2","Alpine","Actions","Total","Removed from Probation",2008,40
"2","Alpine","Actions","Total","Terminated",2008,18
"2","Alpine","Actions","Total","Revoked",2008,18
"2","Alpine","Actions","Total","Other",2008,4
"2","Alpine","Actions","Felony","Placed on Probation",2008,9
